uid,math,physics,english
1,0,4,7
2,5,2,0
3,5,1,3
4,9,1,8
5,9,1,8
6,1,9,3
7,4,1,7
8,5,1,6
9,2,2,9
10,1,2,6
11,0,1,2
12,7,1,7
13,3,3,1
14,3,4,2
15,3,0,2
16,0,3,3
17,5,0,6
18,1,2,1
19,4,5,9
20,0,4,3
21,0,7,0
22,7,0,0
23,6,2,3
24,1,3,8
25,4,4,0
26,0,3,9
27,5,2,9
28,6,7,8
29,2,6,8
30,0,7,8
31,7,8,3
32,1,8,4
33,5,8,4
34,1,6,9
35,7,5,7
36,3,1,2
37,9,8,7
38,9,7,8
39,5,1,4
40,6,7,0
41,3,4,5
42,1,1,3
43,6,8,2
44,0,9,2
45,9,9,8
46,3,6,4
47,0,8,0
48,0,3,8
49,6,1,7
50,3,5,3
51,5,2,4
52,2,7,2
53,3,5,0
54,7,7,8
55,1,9,7
56,6,3,7
57,5,7,9
58,7,7,2
59,5,4,0
60,6,3,9
61,3,1,8
62,8,9,4
63,7,4,7
64,0,2,0
65,9,6,9
66,5,6,5
67,9,3,8
68,9,6,5
69,0,6,2
70,4,5,4
71,8,2,0
72,6,6,6
73,2,8,7
74,9,7,8
75,1,6,8
76,6,8,4
77,8,4,3
78,5,9,6
79,3,1,6
80,7,4,8
81,7,7,3
82,4,8,0
83,4,9,1
84,8,3,5
85,8,4,9
86,6,6,3
87,7,7,6
88,9,0,7
89,2,2,9
90,9,6,4
91,7,4,9
92,7,9,3
93,5,3,6
94,9,7,4
95,7,2,7
96,3,8,5
97,8,1,1
98,1,6,0
99,9,0,4
100,7,2,4
